0,OUI,VEUX-TU QUE JE TE PROPOSE DES MUSIQUES DU LIVRE DE LA JUNGLE,*,<srai>MUSIQUE</srai>. Une autre musique?,musique.aiml
0,OUI,UNE AUTRE MUSIQUE,*,<srai>MUSIQUE</srai>. Une autre musique?,musique.aiml
0,NON,UNE AUTRE MUSIQUE,*,Sais-tu quel est mon style de musique?,musique.aiml
0,OUI,SAIS-TU QUEL EST MON STYLE DE MUSIQUE,*,<srai>QUEL EST TON STYLE DE MUSIQUE</srai> Veux-tu que je te propose des souvenirs du livre de la jungle?,musique.aiml
0,NON,SAIS-TU QUEL EST MON STYLE DE MUSIQUE,*,<srai>QUEL EST TON STYLE DE MUSIQUE</srai> Veux-tu que je te propose des souvenirs du livre de la jungle?,musique.aiml
0,MUSIQUE,*,*,<random>#Newline#Newline			<li>Tiens j ai ca pour toi: <audio controls="controls"> <source src="https://youtu.be/peR2EDHpd4w" type="audio/mp3"/>Votre navigateur n'est pas compatible </audio>#Newline#Newline			Il en faut peu pour être heureux#Newline			Vraiment très peu pour être heureux#Newline			Il faut se satisfaire du nécessaire#Newline			Un peu d'eau fraîche et de verdure#Newline			Que nous prodigue la nature#Newline			Quelques rayons de miel et de soleil#Newline			Je dors d'ordinaire sous les frondaisons#Newline			Et toute la jungle est ma maison#Newline			Toutes les abeilles de la forêt#Newline			Butinent pour moi dans les bosquets#Newline			Et quand je retourne un gros caillou#Newline			Je sais trouver des fourmis dessous#Newline			Essaye c'est bon#Comma c'est doux#Newline			Il en faut vraiment peu#Newline			Très peu pour être heureux......lalalalaalla </li>#Newline			#Newline			<li> youhou  ca swing : <audio controls="controls"> <source src="https://www.youtube.com/watch?v=WaSLzCw-yos" type="audio/mp3"/>Votre navigateur n'est pas compatible </audio>#Newline#Newline			Je suis le roi de la danse#Comma oh#Newline			La jungle est mes pieds#Newline			De la puissance#Comma je suis au plus haut#Newline			Et pourtant je dois vous envier#Newline			Je voudrais devenir un homme#Newline			Ce serait merveilleux#Newline			Vivre pareil aux autres hommes loin des singes ennuyeux#Newline			Oh oupidou#Newline			Je voudrais marcher comme vous#Newline			Et parler comme vous#Newline			Faire comme vous#Comma tout#Newline			Un singe comme moi#Newline			Pourrais#Comma je crois#Comma#Newline			Être parfois bien plus humain que vous#Newline			Ouais#Comma oh#Comma oh#Comma oh ouh#Newline			Pourtant crois moi bien je suis pas dupe#Newline			Si je marchande avec vous#Newline			C'est que je désire le moyen d'être#Newline			Un homme un point c'est tout#Newline			Dis moi le secret pour être un homme#Newline			Est-ce vraiment si mystérieux#Newline			Pour moi faire éclore#Newline			La grande fleur rouge#Newline			Ce serait merveilleux.... alala	#Newline			 </li>#Newline#Newline			<li>Aie confiancee ssssssssssssssssssssss : <audio controls="controls"> <source src="https://www.youtube.com/watch?v=2gflQEF1WQU" type="audio/mp3"/>Votre navigateur n'est pas compatible </audio>#Newline#Newline			Aie confiance crois en moi#Newline			Que je puisse veillez sur toi#Newline			Fais un somme sans méfiance#Newline			Je suis là#Comma aie confiance#Newline			Le silence propice te berce#Newline			Souris et sois complice#Newline			Laisse tes sens glisser.......lalalal#Newline			 </li>#Newline#Newline#Newline			<li>ehhhhhhhhhhh ouiii au rythme de la jungle: <audio controls="controls"> <source src="https://www.youtube.com/watch?v=sV3EH_nXOlk" type="audio/mp3"/>Votre navigateur n'est pas compatible </audio>#Newline#Newline			Quand le soleil se lève sur la montagne#Newline			Tous les rhinos se frottent les yeux#Newline			A l’appel du rythme de la jungle#Newline#Newline			Les hippos tap’ tap’ tap’ et résonnent#Newline			Et les abeilles ouvrent leurs ailes#Newline			Elles s’éveillent au rythme de la jungle#Newline			Où que tu ailles#Newline			Si tu quittes la jungle ..... lalaal#Newline			 </li>#Newline#Newline			<li>Sacree patrouille: <audio controls="controls"> <source src="https://www.youtube.com/watch?v=QwCchtSQHq4" type="audio/mp3"/>Votre navigateur n'est pas compatible </audio>#Newline#Newline			Une#Comma deux#Comma une#Comma deux#Comma une#Comma deux#Newline			Une#Comma deux#Comma une#Comma deux#Comma une#Comma deux#Newline			Une#Comma deux#Comma une...#Newline			Compagnie... En mesure!#Newline			La patrouille des éléphants#Newline			S'achemine pesamment#Newline			La trompe en avant#Newline			Les oreilles au vent#Newline			Et circule militairement#Newline			Et circule militairement..........hmhmhmhm#Newline			 </li>#Newline#Newline			<li>C est vrai que c est important les amis : <audio controls="controls"> <source src="https://youtu.be/AXEF7j9JoGc" type="audio/mp3"/>Votre navigateur n'est pas compatible </audio>#Newline#Newline			En amis#Comma en amis#Newline			On sera toujours près de toi#Newline			Tout près de toi#Newline			Quand on est seul#Newline			Qui vient alors?#Newline			Vous apporter#Newline			(Fais-nous un sourire)#Newline			Le réconfort....lala#Newline			 </li>#Newline			</random>,musique.aiml
0,BALOO MET MOI DE LA MUSIQUE,*,*,<srai>MUSIQUE</srai>,musique.aiml
0,MET MOI DE LA MUSIQUE,*,*,<srai>MUSIQUE</srai>,musique.aiml
0,LANCE DE LA MUSIQUE,*,*,<srai>MUSIQUE</srai>,musique.aiml
0,PROPOSE MOI DE LA MUSIQUE,*,*,<srai>MUSIQUE</srai>,musique.aiml
0,QUEL EST TON STYLE DE MUSIQUE,*,*,J'adore le jazz!,musique.aiml
